date,close,volume,vix_close,log_return,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_4,ret_lag_5,ret_lag_6,ret_lag_7,ret_lag_8,ret_lag_9,ret_lag_10,volatility_5,volatility_10,vix_lag_1,volume_change,target
2010-01-04,1886.75,205160.0,20.04,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.0060922140636883,0.0084549801373863,0.0168823269158236,0.0042934695329067,-0.0080802891575892,0.0088716252850597,0.0076375784511171,21.68,0.8168614948636204,-0.0007953340822213
2010-01-05,1885.25,208700.0,19.35,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.0060922140636883,0.0084549801373863,0.0168823269158236,0.0042934695329067,0.0088994246395681,0.0078862919431527,20.04,0.0172548255020472,-0.0035868520687328
2010-01-06,1878.5,261270.0,19.16,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.0060922140636883,0.0084549801373863,0.0168823269158236,0.0091243936225029,0.0070447607376654,19.35,0.2518926689027312,-0.0005324813757337
2010-01-07,1877.5,241320.0,19.06,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.0060922140636883,0.0084549801373863,0.0090853854966562,0.0068217048301106,19.16,-0.0763577907911355,0.0066357244153982
2010-01-08,1890.0,268930.0,18.13,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.0060922140636883,0.0075127924416465,0.0068603132097646,19.06,0.1144123984750538,-0.0034450809215923
2010-01-11,1883.5,244840.0,17.55,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0084672234920215,0.004155976713754,0.0066468650229285,18.13,-0.0895772134012568,-0.0096026344708832
2010-01-12,1865.5,328570.0,18.25,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0034736173871788,0.0058965942547148,0.0073203213970215,17.55,0.3419784348962587,0.009071567012836
2010-01-13,1882.5,315110.0,17.85,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,-0.0010675207845921,0.0075793134253731,0.0079086249268191,18.25,-0.0409653955017196,0.0030497935195086
2010-01-14,1888.25,206040.0,17.63,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0022671210617372,0.0076352340876216,0.0079315371786216,17.85,-0.3461330963790422,-0.0138650401371716
2010-01-15,1862.25,345080.0,17.91,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,-0.0096373386787469,0.0092757210599751,0.0086211791447938,17.63,0.6748204232187924,0.0146591111159003
2010-01-19,1889.75,333010.0,17.58,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0149515533906128,0.0121319733476174,0.0085658536297874,17.91,-0.0349773965457285,-0.0121116806305635
2010-01-20,1867.0,403530.0,18.68,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,-0.0007953340822213,0.0127012504295334,0.0094116637938969,17.58,0.2117654124500765,-0.0140239623086447
2010-01-21,1841.0,501310.0,22.27,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,-0.0035868520687328,0.0128492194952079,0.0102730600812488,18.68,0.2423116001288627,-0.0237730192504744
2010-01-22,1797.75,527630.0,27.31,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,-0.0005324813757337,0.0144326109346538,0.0123241177248564,22.27,0.0525024435977738,0.0004171011530751
2010-01-25,1798.5,340320.0,25.41,0.0004171011530751,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0066357244153982,0.0148401850510613,0.011856759733367,27.31,-0.3550025586111479,-0.0011126565821051
2010-01-26,1796.5,419120.0,24.55,-0.0011126565821051,0.0004171011530751,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,-0.0034450809215923,0.0099721534872824,0.01191273332241,25.41,0.2315467795016454,0.0069338788417216
2010-01-27,1809.0,443910.0,23.14,0.0069338788417216,-0.0011126565821051,0.0004171011530751,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,-0.0096026344708832,0.0123706187815159,0.0123024317282214,24.55,0.0591477381179614,-0.0215122138433366
2010-01-28,1770.5,570520.0,23.73,-0.0215122138433366,0.0069338788417216,-0.0011126565821051,0.0004171011530751,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.009071567012836,0.0138968540633217,0.0127408940043059,23.14,0.2852154716046045,-0.0178080067482076
2010-01-29,1739.25,538160.0,24.62,-0.0178080067482076,-0.0215122138433366,0.0069338788417216,-0.0011126565821051,0.0004171011530751,-0.0237730192504744,-0.0140239623086447,-0.0121116806305635,0.0146591111159003,-0.0138650401371716,0.0030497935195086,0.0123542373138581,0.0127776474959879,23.73,-0.0567201850942999,0.009442130235379
